id_franchise_brand,franchise_brand
1,AMERICAN EXPRESS
2,ARGENCARD
3,ATM CARD
4,AURA
5,BANKCARD(INACTIVE)
6,BELKART
7,BP FUEL CARD
8,CABAL
9,CARNET
10,CHINA UNION PAY
11,CHJONES FUEL CARD
12,CIRRUS
13,CMI
14,CODENSA
15,DANKORT
16,DINACARD
17,DINERS CLUB INTERNATIONAL
18,DISCOVER
19,DUET
20,EBT
21,EFTPOS
22,ELO
23,EUROSHELL FUEL CARD
24,FUEL CARD
25,GE CAPITAL
26,GIROCARD
27,GLOBAL BC
28,HIPERCARD
29,HUMOCARD
30,JCB
31,LOCAL BRAND
32,LOYALTY CARD
33,LUKOIL FUEL CARD
34,MAESTRO
35,MASTERCARD
36,MEEZA
37,NEWDAY
38,NSPK MIR
39,OUROCARD
40,PAGOBANCOMAT
41,PAYPAK
42,PAYPAL
43,PHH FUEL CARD
44,PRIVATE LABEL
45,PROSTIR
46,RED FUEL CARD
47,RED LIQUID FUEL CARD
48,RUPAY
49,SBERCARD
50,SODEXO
51,STAR REWARDS
52,TARJETA CENCOSUD
53,TARJETA NARANJA
54,TROY
55,UATP
56,UK FUEL CARD
57,UZCARD
58,VERVE
59,VISA
60,VOYAGER
61,VPAY
62,WEXCARD
